City,Attraction,WikiLink
Kyiv,"Kyiv-Pechersk Lavra",https://en.wikipedia.org/wiki/Kyiv_Pechersk_Lavra
Kyiv,"St. Sophia's Cathedral","https://en.wikipedia.org/wiki/Saint_Sophia_Cathedral,_Kyiv"
Kyiv,Maidan Nezalezhnosti,https://en.wikipedia.org/wiki/Maidan_Nezalezhnosti
Kyiv,Andriyivskyy Descent,https://en.wikipedia.org/wiki/Andriivskyi_Descent
Kyiv,"St. Michael's Golden-Domed Monastery","https://en.wikipedia.org/wiki/St._Michael's_Golden-Domed_Monastery"
Kyiv,Mariyinsky Palace,https://en.wikipedia.org/wiki/Mariinskyi_Palace
Kyiv,National Opera House of Ukraine,https://en.wikipedia.org/wiki/National_Opera_of_Ukraine
Kyiv,Ukrainian Motherland Monument,https://en.wikipedia.org/wiki/Mother_Ukraine
Kyiv,Golden Gate,"https://en.wikipedia.org/wiki/Golden_Gate,_Kyiv"
Kyiv,National Art Museum of Ukraine,https://en.wikipedia.org/wiki/National_Art_Museum_of_Ukraine
Kyiv,National Museum of the History of Ukraine,https://en.wikipedia.org/wiki/National_Museum_of_the_History_of_Ukraine
Kyiv,Pinchuk Art Centre,https://en.wikipedia.org/wiki/PinchukArtCentre
Kyiv,Vydubychi Monastery,https://en.wikipedia.org/wiki/Vydubychi_Monastery
Kyiv,Kyiv Funicular,https://en.wikipedia.org/wiki/Kyiv_Funicular
Kyiv,Khreshchatyk,https://en.wikipedia.org/wiki/Khreshchatyk
Kyiv,"St. Andrew's Church","https://en.wikipedia.org/wiki/St_Andrew's_Church,_Kyiv"
Kyiv,"St. Volodymyr's Cathedral",https://en.wikipedia.org/wiki/St_Volodymyr's_Cathedral
Kyiv,Mariinsky Park,https://en.wikipedia.org/wiki/Mariinskyi_Park
Kyiv,Kyiv Zoo,"https://en.wikipedia.org/wiki/Kyiv_Zoo"
Kyiv,Hydropark,"https://en.wikipedia.org/wiki/Hydropark_in_Kyiv"
Lviv,Rynok Square,"https://en.wikipedia.org/wiki/Market_Square_(Lviv)"
Lviv,High Castle,https://en.wikipedia.org/wiki/Lviv_High_Castle
Lviv,Lviv National Opera,https://en.wikipedia.org/wiki/Lviv_Theatre_of_Opera_and_Ballet
Lviv,Armenian Cathedral of Lviv,https://en.wikipedia.org/wiki/Armenian_Cathedral_of_Lviv
Lviv,"Latin Cathedral, Lviv","https://en.wikipedia.org/wiki/Cathedral_Basilica_of_the_Assumption,_Lviv"
Lviv,"The Church of the Holy Eucharist","https://en.wikipedia.org/wiki/Dominican_Church,_Lviv"
Lviv,Boim Chapel,https://en.wikipedia.org/wiki/Boim_Chapel
Lviv,"Potocki Palace, Lviv","https://en.wikipedia.org/wiki/Potocki_Palace,_Lviv"
Lviv,Lychakiv Cemetery,https://en.wikipedia.org/wiki/Lychakiv_Cemetery
Lviv,"Pharmacy Museum, Lviv","https://en.wikipedia.org/wiki/Pharmacy_Museum,_Lviv"
Lviv,Lviv City Hall,https://en.wikipedia.org/wiki/Lviv_Town_Hall
Lviv,Shevchenkivskyi Hai Park Museum,https://en.wikipedia.org/wiki/Shevchenkivskyi_Hai
Lviv,"Bernardine Church and Monastery, Lviv","https://en.wikipedia.org/wiki/Bernardine_Church,_Lviv"
Lviv,"St. George's Cathedral, Lviv","https://en.wikipedia.org/wiki/St._George's_Cathedral,_Lviv"
Lviv,"St. Elizabeth's Church, Lviv","https://en.wikipedia.org/wiki/Church_of_Sts._Olha_and_Elizabeth,_Lviv"
Lviv,"National Art Gallery, Lviv",https://en.wikipedia.org/wiki/Borys_Voznytsky_Lviv_National_Art_Gallery
Lviv,Ivan Franko Park,https://en.wikipedia.org/wiki/Ivan_Franko_Park_(Lviv)
Lviv,"Museum-Arsenal, Lviv",https://en.wikipedia.org/wiki/Lviv_Arsenal
Lviv,"Black House, Lviv","https://en.wikipedia.org/wiki/Black_House,_Lviv"
Lviv,"Armenian Quarter, Lviv","https://en.wikipedia.org/wiki/Armenian_Cathedral_of_Lviv"
