city,source_type,url,summary,title,word_count,extraction_date,file_path
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Kyiv_Pechersk_Lavra,"The 'Kyiv Pechersk Lavra' or 'Kyievo-Pecherska Lavra' , also known as the 'Kyiv Monastery of the Caves', is a historic lavra or large monastery of Eastern Christianity that gave its name to the Pecher...",Kyiv-Pechersk Lavra,2317,2025-08-08 12:51:16,data/raw/Kyiv_Kyiv-Pechersk Lavra.txt
Kyiv,wikipedia,"https://en.wikipedia.org/wiki/Saint_Sophia_Cathedral,_Kyiv","The 'Saint Sophia Cathedral' (, in Kyiv, Ukraine, is an architectural monument of Kievan Rus'. The former cathedral is one of the city's best known landmarks and the first heritage site in Ukraine to ...",St. Sophia's Cathedral,1045,2025-08-08 12:51:17,data/raw/Kyiv_St. Sophia's Cathedral.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Maidan_Nezalezhnosti,"'Maidan Nezalezhnosti' or 'Independence Square' is the central town square of Kyiv, the capital city of Ukraine. One of the city's main squares, it is located on Khreshchatyk Street in the Shevchenko ...",Maidan Nezalezhnosti,1809,2025-08-08 12:51:18,data/raw/Kyiv_Maidan Nezalezhnosti.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Andriivskyi_Descent,"'Andriivskyi Descent' or 'Andrew's Descent' is a historic descent connecting Kyiv's Upper Town neighborhood and the historically commercial Podil neighborhood. The street, often advertised by tour gui...",Andriyivskyy Descent,2120,2025-08-08 12:51:19,data/raw/Kyiv_Andriyivskyy Descent.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/St._Michael's_Golden-Domed_Monastery,"The 'St. Michael's Golden-Domed Monastery' is a monastery in Kyiv, the capital of Ukraine, dedicated to Saint Michael the Archangel. It is located on the edge of the bank of the Dnipro river, to the n...",St. Michael's Golden-Domed Monastery,6073,2025-08-08 12:51:20,data/raw/Kyiv_St. Michael's Golden-Domed Monastery.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Mariinskyi_Palace,"The 'Mariinskyi Palace' is the official residence of the president of Ukraine. The Elizabethan baroque palace is sited on the right bank of the Dnipro River in Kyiv, Ukraine, adjoining the neo-classic...",Mariyinsky Palace,454,2025-08-08 12:51:21,data/raw/Kyiv_Mariyinsky Palace.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/National_Opera_of_Ukraine,"The 'Kyiv Opera' group in Ukraine was formally established in the summer of 1867, and is the second oldest opera in Ukraine, after Odesa Opera and before Lviv Opera.",National Opera House of Ukraine,1352,2025-08-08 12:51:22,data/raw/Kyiv_National Opera House of Ukraine.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Mother_Ukraine,"''Mother Ukraine'' is a monumental Soviet-era statue in Kyiv, the capital of Ukraine. The sculpture is a part of the National Museum of the History of Ukraine in the Second World War. In 2023, the Sov...",Ukrainian Motherland Monument,1304,2025-08-08 12:51:23,data/raw/Kyiv_Ukrainian Motherland Monument.txt
Kyiv,wikipedia,"https://en.wikipedia.org/wiki/Golden_Gate,_Kyiv","The 'Golden Gate of Kyiv' was the main gate in the 11th century fortifications of Kyiv, the capital of the Kievan Rus'. It was named in imitation of the Golden Gate of Constantinople. The structure wa...",Golden Gate,897,2025-08-08 12:51:23,data/raw/Kyiv_Golden Gate.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/National_Art_Museum_of_Ukraine,"The 'National Art Museum of Ukraine' (, 'NAMU') is a museum dedicated to Ukrainian art in Kyiv, Ukraine.",National Art Museum of Ukraine,1571,2025-08-08 12:51:24,data/raw/Kyiv_National Art Museum of Ukraine.txt
